timestamp_s,lf_heel_l_N,lf_heel_r_N,lf_mid_l_N,lf_mid_r_N,lf_toe_l_N,lf_toe_c_N,lf_toe_r_N,rf_heel_l_N,rf_heel_r_N,rf_mid_l_N,rf_mid_r_N,rf_toe_l_N,rf_toe_c_N,rf_toe_r_N
0.000,77.006,69.785,0.000,2.323,3.525,0.000,0.964,7.531,0.000,0.000,0.000,0.000,1.696,1.120
0.010,85.212,81.402,0.000,1.840,0.000,0.482,0.000,1.367,1.310,1.167,0.000,0.015,1.362,0.000
0.020,93.206,92.410,0.000,0.284,0.000,0.655,0.000,0.000,2.896,2.485,0.000,0.051,0.605,0.000
0.030,100.804,101.645,0.000,0.000,0.000,0.140,0.535,0.000,2.145,1.595,1.163,0.000,0.000,0.000
0.040,108.174,108.385,0.152,0.000,0.550,0.000,0.303,0.732,0.338,0.194,1.822,0.000,0.000,0.000
0.050,115.571,113.482,0.453,0.000,1.564,0.000,0.000,1.337,0.000,0.000,0.700,0.000,0.138,0.238
0.060,122.538,118.656,0.000,0.000,1.122,0.000,0.000,0.534,0.580,0.000,0.000,0.127,2.456,1.290
0.070,128.149,124.765,0.000,2.615,0.000,0.000,0.000,0.066,2.092,0.535,0.000,0.911,3.728,0.996
0.080,132.179,131.134,0.000,4.222,0.000,0.000,0.000,0.927,2.630,0.746,0.000,0.508,2.286,0.375
0.090,135.260,136.280,0.801,3.680,0.000,0.000,2.362,1.877,1.960,0.483,0.000,0.000,0.000,0.461
0.100,137.678,138.974,2.178,1.393,0.000,0.000,4.601,1.335,0.802,0.109,0.000,0.000,0.000,0.867
0.110,138.730,139.140,3.774,0.000,0.122,2.411,4.658,0.000,0.000,0.000,0.000,0.479,0.000,0.581
0.120,137.760,138.080,5.267,0.000,0.723,3.844,2.941,0.000,0.000,0.004,0.000,1.538,0.000,0.000
0.130,135.375,137.124,6.504,2.514,0.678,3.855,0.751,0.496,0.000,0.000,0.000,2.049,2.125,0.000
0.140,132.908,135.738,7.886,4.909,0.178,2.853,0.000,1.575,0.717,0.000,0.000,1.387,3.155,0.000
0.150,130.672,132.085,9.888,5.953,0.000,1.260,0.000,1.673,1.263,0.000,0.000,0.000,2.329,0.540
0.160,127.536,125.964,12.254,6.922,0.000,0.000,0.000,1.694,1.057,0.000,0.000,0.000,0.848,0.773
0.170,122.588,119.716,14.343,9.697,0.216,0.000,0.000,2.486,0.386,0.000,0.262,0.133,0.387,0.403
0.180,116.486,115.251,16.263,14.369,0.296,0.000,0.000,2.877,0.000,0.000,1.045,2.182,1.314,0.000
0.190,110.412,111.499,18.884,19.268,0.000,0.000,0.000,1.239,0.000,0.160,1.432,2.865,2.222,0.000
0.200,104.217,105.983,22.502,22.815,0.000,1.119,0.738,0.000,0.379,1.308,1.344,1.530,1.567,0.000
0.210,96.677,97.842,26.087,24.864,0.814,2.034,1.860,0.000,0.985,2.060,0.711,0.210,0.000,0.000
0.220,87.541,88.233,28.363,26.361,2.253,1.402,1.773,0.000,1.365,1.964,0.126,0.664,0.000,0.405
0.230,78.211,78.709,29.380,28.122,3.039,0.000,1.370,0.000,1.358,1.120,0.463,2.012,0.000,1.974
0.240,70.112,70.303,30.225,30.130,2.525,0.000,1.358,0.118,1.137,0.444,1.505,2.541,0.000,2.332
0.250,63.180,63.403,31.119,31.845,1.449,0.000,1.419,0.000,0.980,0.752,1.751,2.196,1.836,1.105
0.260,56.382,57.417,30.928,32.739,1.069,0.159,1.019,0.000,1.005,1.529,0.151,1.798,3.350,0.000
0.270,49.259,50.966,29.028,32.497,1.716,1.704,0.367,0.000,1.060,1.520,0.000,1.320,3.204,0.000
0.280,42.507,43.269,26.592,31.193,2.564,1.838,0.134,0.748,0.735,0.630,0.000,0.545,1.743,0.000
