
timestamp_ms,U1_raw,M1_raw,L1_raw,L2_raw,U2_raw,U1_g,M1_g,L1_g,L2_g,U2_g
0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0
450,0,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
550,0,0,0,0,0,0,0,0,0,0
600,0,0,0,0,0,0,0,0,0,0
650,0,0,0,0,0,0,0,0,0,0
700,0,0,0,0,0,0,0,0,0,0
750,0,0,0,0,0,0,0,0,0,0
800,0,0,0,0,0,0,0,0,0,0
850,0,0,0,0,0,0,0,0,0,0
900,0,0,0,0,0,0,0,0,0,0
950,0,0,0,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,0,0,0,0
1050,0,0,0,0,0,0,0,0,0,0
1100,0,0,0,0,0,0,0,0,0,0
1150,0,0,0,0,0,0,0,0,0,0
1200,0,0,0,0,0,0,0,0,0,0
1250,0,0,0,0,0,0,0,0,0,0
1300,0,0,0,0,0,0,0,0,0,0
1350,0,0,0,0,0,0,0,0,0,0
1400,866,0,0,0,0,27,0,0,0,0
1450,1652,0,0,0,0,68,0,0,0,0
1500,2189,0,0,0,0,115,0,0,0,0
1550,2819,0,0,0,0,221,0,0,0,0
1600,2711,0,0,0,0,196,0,0,0,0
1650,1529,0,0,0,0,60,0,0,0,0
1700,0,0,0,0,0,0,0,0,0,0
1750,0,0,0,0,0,0,0,0,0,0
1800,0,0,0,0,0,0,0,0,0,0
1850,2471,0,0,0,0,152,0,0,0,0
1900,3095,0,0,0,0,310,0,0,0,0
1950,3239,0,0,0,0,378,0,0,0,0
2000,3258,0,0,0,0,389,0,0,0,0
2050,2789,0,0,0,0,214,0,0,0,0
2100,0,0,0,0,0,0,0,0,0,0
2150,0,0,0,0,0,0,0,0,0,0
2200,0,0,0,0,0,0,0,0,0,0
2250,0,0,0,0,0,0,0,0,0,0
2300,0,0,0,0,0,0,0,0,0,0
2350,0,0,0,0,0,0,0,0,0,0
2400,0,0,0,0,0,0,0,0,0,0
2450,0,0,0,0,0,0,0,0,0,0
2500,0,0,0,0,0,0,0,0,0,0
2550,0,1924,0,0,0,0,89,0,0,0
2600,0,2981,0,0,0,0,268,0,0,0
2650,0,3192,0,0,0,0,353,0,0,0
2700,0,3105,0,0,0,0,314,0,0,0
2750,0,343,0,0,0,0,0,0,0,0
2800,0,0,0,0,0,0,0,0,0,0
2850,0,0,0,0,0,0,0,0,0,0
2900,0,415,0,0,0,0,11,0,0,0
2950,0,2519,0,0,0,0,160,0,0,0
3000,0,2832,0,0,0,0,224,0,0,0
3050,0,3052,0,0,0,0,293,0,0,0
3100,0,2890,0,0,0,0,240,0,0,0
3150,0,0,0,0,0,0,0,0,0,0
3200,0,0,0,0,0,0,0,0,0,0
3250,0,0,0,0,0,0,0,0,0,0
3300,0,0,0,0,0,0,0,0,0,0
3350,0,0,0,0,0,0,0,0,0,0
3400,0,0,0,0,0,0,0,0,0,0
3450,0,0,0,0,0,0,0,0,0,0
3500,0,0,0,0,0,0,0,0,0,0
3550,0,0,0,0,0,0,0,0,0,0
3600,0,0,0,0,0,0,0,0,0,0
3650,0,0,0,0,0,0,0,0,0,0
3700,0,0,0,0,0,0,0,0,0,0
3750,0,0,0,0,0,0,0,0,0,0
3800,0,0,1510,0,0,0,0,58,0,0
3850,0,0,2367,0,0,0,0,137,0,0
3900,0,0,2217,0,0,0,0,118,0,0
3950,0,0,711,0,0,0,0,21,0,0
4000,0,0,0,0,0,0,0,0,0,0
4050,0,0,0,0,0,0,0,0,0,0
4100,0,0,0,0,0,0,0,0,0,0
4150,0,0,2078,0,0,0,0,103,0,0
4200,0,0,2512,0,0,0,0,159,0,0
4250,0,0,2546,0,0,0,0,164,0,0
4300,0,0,2234,0,0,0,0,120,0,0
4350,0,0,378,0,0,0,0,10,0,0
4400,0,0,0,0,0,0,0,0,0,0
4450,0,0,0,0,0,0,0,0,0,0
4500,0,0,0,0,0,0,0,0,0,0
4550,0,0,1454,0,0,0,0,55,0,0
4600,0,0,2258,0,0,0,0,123,0,0
4650,0,0,2319,0,0,0,0,131,0,0
4700,0,0,2066,0,0,0,0,102,0,0
4750,0,0,235,0,0,0,0,0,0,0
4800,0,0,0,0,0,0,0,0,0,0
4850,0,0,0,0,0,0,0,0,0,0
4900,0,0,0,0,0,0,0,0,0,0
4950,0,0,0,0,0,0,0,0,0,0
5000,0,0,0,0,0,0,0,0,0,0
5050,0,0,0,0,0,0,0,0,0,0
5100,0,0,0,0,0,0,0,0,0,0
5150,0,0,0,0,0,0,0,0,0,0
5200,0,0,0,0,0,0,0,0,0,0
5250,0,0,0,0,0,0,0,0,0,0
5300,0,0,0,0,0,0,0,0,0,0
5350,0,0,0,0,0,0,0,0,0,0
5400,0,0,0,0,0,0,0,0,0,0
5450,0,0,0,0,0,0,0,0,0,0
5500,0,0,0,780,0,0,0,0,24,0
5550,0,0,0,1166,0,0,0,0,40,0
5600,0,0,0,1318,0,0,0,0,47,0
5650,0,0,0,0,0,0,0,0,0,0
5700,0,0,0,0,0,0,0,0,0,0
5750,0,0,0,0,0,0,0,0,0,0
5800,0,0,0,0,0,0,0,0,0,0
5850,0,0,0,1426,0,0,0,0,53,0
5900,0,0,0,2265,0,0,0,0,124,0
5950,0,0,0,2620,0,0,0,0,178,0
6000,0,0,0,2687,0,0,0,0,191,0
6050,0,0,0,2244,0,0,0,0,121,0
6100,0,0,0,0,0,0,0,0,0,0
6150,0,0,0,0,0,0,0,0,0,0
6200,0,0,0,0,0,0,0,0,0,0
6250,0,0,0,0,0,0,0,0,0,0
6300,0,0,0,988,0,0,0,0,32,0
6350,0,0,0,2004,0,0,0,0,96,0
6400,0,0,0,2381,0,0,0,0,139,0
6450,0,0,0,2365,0,0,0,0,137,0
6500,0,0,0,620,0,0,0,0,18,0
6550,0,0,0,0,0,0,0,0,0,0
6600,0,0,0,0,0,0,0,0,0,0
6650,0,0,0,0,0,0,0,0,0,0
6700,0,0,0,624,0,0,0,0,18,0
6750,0,0,0,2177,0,0,0,0,114,0
6800,0,0,0,2378,0,0,0,0,138,0
6850,0,0,0,0,0,0,0,0,0,0
6900,0,0,0,0,0,0,0,0,0,0
6950,0,0,0,0,0,0,0,0,0,0
7000,0,0,0,0,0,0,0,0,0,0
7050,0,0,0,0,0,0,0,0,0,0
7100,0,0,0,0,0,0,0,0,0,0
7150,0,0,0,0,0,0,0,0,0,0
7200,0,0,0,0,0,0,0,0,0,0
7250,0,0,0,0,0,0,0,0,0,0
7300,0,0,0,0,0,0,0,0,0,0
7350,0,0,0,0,0,0,0,0,0,0
7400,0,0,0,0,0,0,0,0,0,0
7450,0,0,0,0,0,0,0,0,0,0
7500,0,0,0,0,0,0,0,0,0,0
7550,0,0,0,0,0,0,0,0,0,0
7600,0,0,0,0,0,0,0,0,0,0
7650,0,0,0,0,0,0,0,0,0,0
