timestamp_ms,U1_raw,M1_raw,L1_raw,L2_raw,U2_raw,U1_g,M1_g,L1_g,L2_g,U2_g
0,0,0,0,0,0,0,0,0,0,20
50,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,48
150,0,0,0,0,0,0,0,0,0,60
200,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,8
350,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0
450,0,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,56
550,0,0,0,0,0,0,0,0,0,50
600,0,0,0,0,0,0,0,0,0,4
650,0,0,0,0,0,0,0,0,0,72
700,0,0,0,0,0,0,0,0,0,30
750,0,0,0,0,0,0,0,0,0,0
800,0,0,0,0,0,0,0,0,0,24
850,0,0,0,0,0,0,0,0,0,0
900,0,0,0,0,0,0,0,0,0,56
950,0,0,0,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,0,0,0,0
1050,0,0,0,0,0,0,0,0,0,0
1100,0,0,0,0,0,0,0,0,0,78
1150,0,0,0,0,0,0,0,0,0,0
1200,0,0,0,0,0,0,0,0,0,0
1250,0,0,0,0,0,0,0,0,0,0
1300,0,0,0,0,0,0,0,0,0,34
1350,0,0,0,0,0,0,0,0,0,23
1400,866,0,0,0,0,432,0,0,0,350
1450,1652,0,0,0,0,1088,0,0,0,844
1500,2189,0,0,0,0,1840,0,0,0,1517
1550,2819,0,0,0,0,3536,0,0,0,2626
1600,2711,0,0,0,0,3136,0,0,0,2319
1650,1529,0,0,0,0,960,0,0,0,668
1700,0,0,0,0,0,0,0,0,0,39
1750,0,0,0,0,0,0,0,0,0,72
1800,0,0,0,0,0,0,0,0,0,0
1850,2471,0,0,0,0,2432,0,0,0,1770
1900,3095,0,0,0,0,4960,0,0,0,3667
1950,3239,0,0,0,0,6048,0,0,0,4578
2000,3258,0,0,0,0,6224,0,0,0,4716
2050,2789,0,0,0,0,3424,0,0,0,2603
2100,0,0,0,0,0,0,0,0,0,0
2150,0,0,0,0,0,0,0,0,0,15
2200,0,0,0,0,0,0,0,0,0,7
2250,0,0,0,0,0,0,0,0,0,14
2300,0,0,0,0,0,0,0,0,0,56
2350,0,0,0,0,0,0,0,0,0,14
2400,0,0,0,0,0,0,0,0,0,43
2450,0,0,0,0,0,0,0,0,0,4
2500,0,0,0,0,0,0,0,0,0,19
2550,0,1924,0,0,0,0,1424,0,0,40
2600,0,2981,0,0,0,0,4288,0,0,0
2650,0,3192,0,0,0,0,5648,0,0,0
2700,0,3105,0,0,0,0,5024,0,0,0
2750,0,343,0,0,0,0,0,0,0,0
2800,0,0,0,0,0,0,0,0,0,0
2850,0,0,0,0,0,0,0,0,0,96
2900,0,415,0,0,0,0,176,0,0,0
